bank,appId,review_id,username,user_image,likes,review_created_version,created_at,reply_content,replied_at,app_version,score,comments,keywords,lda_category,sentiment,insight
Abyssinia Bank,com.boa.boaMobileBanking,a7dd485c-3b5d-402a-aea5-431452d49d82,Matthias Tamrat,https://play-lh.googleusercontent.com/a-/ALV-UjVYzNTz8qKOAD5Mzh27FQlCrAqsgfyTUC0JY4p-PTuz11uUoC7p,1,24.04.23,2024-05-02 17:39:03,,,24.04.23,1,"Another useless app from boa, this app also crashed repeatedly.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,da76cec9-4f56-4828-b004-05404b128373,Wendesen,https://play-lh.googleusercontent.com/a-/ALV-UjVzeZVPbZApgaFKO4QmuYXFYBPPn244RBEUzsTsJM9d_kntLIAl,0,,2024-05-02 07:26:08,,,,1,Useless app. It deserves 0,,,,
Abyssinia Bank,com.boa.boaMobileBanking,8140a590-68f4-46a5-9e03-8860ab8697df,Tariku Furgassa,https://play-lh.googleusercontent.com/a/ACg8ocLGE8YcdrmbXnZZe8PmEk5ON6DLfsCvGBLEWINzalU4Jcj5r3Y=mo,1,,2024-05-01 22:39:02,,,,1,Not downloaded. After started download and 31% completed. Stop download and send error message for many times.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,2e54c62d-0ff6-4f99-89a4-f632a554d59f,Endaweke tade,https://play-lh.googleusercontent.com/a/ACg8ocI1ge0fi2_O3YOxxW_BpiLuxHu-_h_ktJKw34n9ZXQeSQeD1g=mo,0,,2024-05-01 19:51:10,,,,4,Iiyu,,,,
Abyssinia Bank,com.boa.boaMobileBanking,ee875aca-a233-43de-97e7-fa93fd25789d,Munir aman Abdii,https://play-lh.googleusercontent.com/a/ACg8ocKPto2-DGfl_McVacqSwrWr0nl4Dq7O1YsDz-cg2zH0SR0xVQ=mo,0,,2024-04-30 20:38:22,,,,1,Hatuu dha Apollo,,,,
Abyssinia Bank,com.boa.boaMobileBanking,022dc3fd-516c-4169-8c83-bce1d00d1b5d,Yohannes Tadese,https://play-lh.googleusercontent.com/a/ACg8ocI0TwGzZr_LbxliGDcRWz6JKNcqpmYyHpf6eTqBALFMu6JdIpI=mo,1,24.04.23,2024-04-30 09:12:24,,,24.04.23,1,The Worst app i ever downloaded.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,2eb1aa70-7817-4a44-9963-f16f67836176,Abel Seyfu,https://play-lh.googleusercontent.com/a-/ALV-UjX5nL9IruQKuGcroZDISQl8AkHYQxFogEU9XE14rNd8blCb3IMs,1,,2024-04-29 14:30:43,,,,5,This app is very nice. keep it up 💪,,,,
Abyssinia Bank,com.boa.boaMobileBanking,1027ac5c-7027-452a-abe9-9d4f89b3a4ff,Abinet Degife,https://play-lh.googleusercontent.com/a/ACg8ocJ5muixsNzHMNkzP11DKLJ-5r0PZxmgvfhwOLJs-9tMRtwbhg=mo,1,24.03.04,2024-04-29 09:02:03,,,24.03.04,5,Nice app for Ethiopian,,,,
Abyssinia Bank,com.boa.boaMobileBanking,5817d4d1-1a0c-46df-baf8-871cc40e41d2,Firaol Boru,https://play-lh.googleusercontent.com/a-/ALV-UjX_5Ze6VneAN2l1fUwqp-VQ3f8v4wTN-601bjYw0pLxnFXmtKDF,0,24.03.04,2024-04-28 23:04:45,,,24.03.04,2,Good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,ef69ee89-3745-4a9e-82b7-b47a0980e9e9,teshe bekele,https://play-lh.googleusercontent.com/a-/ALV-UjXtT6MrPNKC0n8oCXEWwkjuJuygmXYJ0XjWZTaDPyHagkns6-o,1,24.02.14,2024-04-28 22:23:15,,,24.02.14,4,Not fast but good up and big secure system,,,,
Abyssinia Bank,com.boa.boaMobileBanking,d02eb18e-f187-49e8-85e4-b909917191f5,Abel Tadele,https://play-lh.googleusercontent.com/a/ACg8ocLmkhTwNxw9TGuC17s3Q6oyg9m1J19anRwPlr_7twSm3uby5g=mo,1,24.04.23,2024-04-28 20:52:47,,,24.04.23,1,"For give me, this app does not work perfectly",,,,
